# x(μm) V(V) n(m^-3) p(m^-3) Nd(m^-3) Na(m^-3)
1.356784e+00 5.708543e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.366834e+00 5.869347e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.376884e+00 6.030151e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.386935e+00 6.190955e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.396985e+00 6.351759e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.407035e+00 6.512563e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.417085e+00 6.673367e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.427136e+00 6.834171e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.437186e+00 6.994975e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.447236e+00 7.155779e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.457286e+00 7.316583e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.467337e+00 7.477387e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.477387e+00 7.638191e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.487437e+00 7.798995e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.497487e+00 7.959799e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.507538e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.517588e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.527638e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.537688e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.547739e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.557789e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.567839e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.577889e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.587940e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.597990e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.608040e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.618090e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.628141e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.638191e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.648241e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.658291e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
