# x(μm) n(m^-3) p(m^-3) T_n(K) T_p(K) v_n(m/s) v_p(m/s) P_grad_n P_grad_p heat_n heat_p
2.234899e+00 1.000000e+22 1.000000e+22 3.784184e+02 3.627347e+02 -1.999000e+04 1.499250e+04 4.650724e-01 3.720580e-01 5.052759e+02 4.042207e+02
2.255034e+00 1.000000e+22 1.000000e+22 3.750323e+02 3.600259e+02 -1.999889e+04 1.499917e+04 4.696285e-01 3.757028e-01 5.102258e+02 4.081806e+02
2.275168e+00 1.000000e+22 1.000000e+22 3.716154e+02 3.572923e+02 -1.997222e+04 1.497917e+04 4.736046e-01 3.788837e-01 5.145457e+02 4.116365e+02
2.295302e+00 1.000000e+22 1.000000e+22 3.681717e+02 3.545374e+02 -1.991004e+04 1.493253e+04 4.769960e-01 3.815968e-01 5.182302e+02 4.145842e+02
2.315436e+00 1.000000e+22 1.000000e+22 3.647056e+02 3.517645e+02 -1.981247e+04 1.485935e+04 4.797984e-01 3.838387e-01 5.212749e+02 4.170199e+02
2.335570e+00 1.000000e+22 1.000000e+22 3.612214e+02 3.489771e+02 -1.967967e+04 1.475975e+04 4.820084e-01 3.856067e-01 5.236759e+02 4.189407e+02
2.355705e+00 1.000000e+22 1.000000e+22 3.577233e+02 3.461786e+02 -1.951187e+04 1.463391e+04 4.836232e-01 3.868985e-01 5.254303e+02 4.203442e+02
2.375839e+00 1.000000e+22 1.000000e+22 3.542157e+02 3.433725e+02 -1.930939e+04 1.448204e+04 4.846408e-01 3.877127e-01 5.265359e+02 4.212287e+02
2.395973e+00 1.000000e+22 1.000000e+22 3.507028e+02 3.405622e+02 -1.907258e+04 1.430443e+04 -2.184586e+03 2.348639e+01 2.566174e+03 2.127939e+03
2.416107e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.880185e+04 1.410139e+04 -2.184829e+03 2.329239e+01 2.302711e+03 1.917169e+03
2.436242e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.849770e+04 1.387327e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.456376e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.816066e+04 1.362049e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.476510e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.779132e+04 1.334349e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.496644e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.739036e+04 1.304277e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.516779e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.695848e+04 1.271886e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.536913e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.649644e+04 1.237233e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.557047e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.600508e+04 1.200381e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.577181e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.548526e+04 1.161394e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.597315e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.493791e+04 1.120343e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.617450e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.436399e+04 1.077299e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.637584e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.376454e+04 1.032341e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.657718e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.314062e+04 9.855464e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.677852e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.249333e+04 9.369998e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.697987e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.182383e+04 8.867873e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.718121e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.113331e+04 8.349982e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.738255e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.042299e+04 7.817244e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.758389e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -9.694143e+03 7.270608e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.778523e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -8.948059e+03 6.711044e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.798658e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -8.186065e+03 6.139549e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.818792e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -7.409517e+03 5.557138e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.838926e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -6.619795e+03 4.964846e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.859060e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -5.818303e+03 4.363727e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.879195e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -5.006466e+03 3.754850e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.899329e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -4.185728e+03 3.139296e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.919463e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -3.357548e+03 2.518161e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.939597e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -2.523398e+03 1.892549e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.959732e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -1.684762e+03 1.263572e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.979866e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -8.431306e+02 6.323480e+02 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
3.000000e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 -4.898587e-12 3.673940e-12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
